release_date,price,average_playtime,release_month,release_year,multi_player,single_player,sports,total_ratings
2007-04-06,5.99,0,4,2007,0,1,0,249
2007-04-06,2.99,0,4,2007,0,1,0,141
2006-11-29,6.99,12422,11,2006,1,1,0,380154
2006-10-05,5.99,0,10,2006,0,1,0,9
2006-11-24,25.99,0,11,2006,1,1,0,162
2007-06-22,3.99,0,6,2007,1,1,0,6
2006-11-07,5.99,78,11,2006,0,1,0,57
2007-03-20,7.99,0,3,2007,0,1,0,93
2008-09-29,6.99,0,9,2008,0,1,0,118
2008-07-18,7.99,0,7,2008,1,1,0,48
2007-03-20,9.99,493,3,2007,1,1,0,11609
2007-07-17,7.99,124,7,2007,1,1,0,166
2007-07-17,4.99,1,7,2007,1,1,0,114
2007-07-17,0.0,175,7,2007,1,1,0,5092
2007-08-07,9.99,309,8,2007,1,1,0,3691
2007-08-07,9.99,543,8,2007,1,1,0,2982
2006-11-15,0.0,469,11,2006,1,1,0,10875
2012-10-29,9.99,312,10,2012,0,1,0,1464
2007-08-28,8.99,897,8,2007,1,1,0,8368
2007-08-28,8.99,33,8,2007,1,1,0,462
2007-08-28,0.0,0,8,2007,1,1,0,615
2006-11-22,9.99,0,11,2006,1,1,0,305
2010-09-02,3.99,1134,9,2010,1,1,0,1224
2011-08-26,3.99,0,8,2011,0,1,0,124
2011-08-26,3.99,1,8,2011,0,1,0,236
2011-08-26,3.99,71,8,2011,1,1,0,384
2006-12-14,0.0,0,12,2006,0,1,0,139
2012-10-30,6.99,627,10,2012,1,0,0,9870
2009-07-08,7.19,369,7,2009,1,1,0,6771
2009-07-08,4.79,419,7,2009,0,1,0,628
2009-09-16,7.19,1254,9,2009,0,1,0,6014
2009-09-16,7.19,127,9,2009,0,1,0,2239
2009-07-08,4.79,801,7,2009,0,1,0,630
2009-07-08,7.19,618,7,2009,1,1,0,31574
2009-07-08,7.19,17,7,2009,0,1,0,310
2009-07-08,4.79,100,7,2009,0,1,0,133
2010-10-25,7.19,255,10,2010,0,1,0,1976
2006-12-21,3.99,21,12,2006,0,1,0,1189
2006-12-21,3.99,0,12,2006,0,1,0,124
2007-02-02,4.99,78,2,2007,1,1,0,2163
2007-03-13,3.99,0,3,2007,1,1,0,567
2007-09-21,3.99,0,9,2007,1,1,0,177
2007-01-12,13.99,20,1,2007,0,1,0,677
2007-05-01,5.99,14,5,2007,0,1,0,1254
2011-10-28,0.0,70,10,2011,1,1,0,1591
2007-03-27,5.79,0,3,2007,1,1,0,115
2007-07-03,6.99,0,7,2007,1,1,0,564
2007-06-29,9.99,74,6,2007,1,1,0,747
2007-06-12,15.99,90,6,2007,0,1,0,2514
2007-03-15,3.99,63,3,2007,1,1,0,1774
2007-03-15,3.99,12,3,2007,1,1,0,475
2007-03-15,3.99,201,3,2007,1,1,0,1571
2007-03-15,3.99,14,3,2007,1,1,0,686
2007-03-15,8.29,63,3,2007,0,1,0,1774
2007-03-15,9.29,435,3,2007,0,1,0,6255
2007-03-15,4.99,0,3,2007,0,1,0,429
2007-03-15,4.99,20,3,2007,0,1,0,2578
